docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID,calcNER
383,0,1,STA,sta,biti,Va-r3d-n,AUX,B-ORG,40065,O
383,0,2,:,,:,Z,PUNCT,O,,O
383,0,3,Evropska,evropska,evropski,Agpfsn,ADJ,B-ORG,1,B-ORG
383,0,4,komisija,komisija,komisija,Ncfsn,NOUN,I-ORG,1,I-ORG
383,0,5,dovolila,,dovoliti,Vmep-sf,VERB,O,,O
383,0,6,pomoč,,pomoč,Ncfsa,NOUN,O,,O
383,0,7,za,,za,Sa,ADP,O,,O
383,0,8,Monte,monte,Monte,Npmsan,PROPN,B-ORG,40152,B-LOC
383,0,9,dei,dei,dei,Npmsn,PROPN,I-ORG,40152,I-LOC
383,0,10,Paschi,paschi,Paschi,Npmsn,PROPN,I-ORG,40152,I-LOC
383,1,1,Bruselj,bruselj,Bruselj,Npmsn,PROPN,B-LOC,28,O
383,1,2,",",,",",Z,PUNCT,O,,O
383,1,3,29.,,29.,Mdo,NUM,O,,O
383,1,4,decembra,,december,Ncmsg,NOUN,O,,O
383,1,5,-,,-,Z,PUNCT,O,,O
383,1,6,Evropska,evropska,evropski,Agpfsn,ADJ,B-ORG,1,B-ORG
383,1,7,komisija,komisija,komisija,Ncfsn,NOUN,I-ORG,1,I-ORG
383,1,8,je,,biti,Va-r3s-n,AUX,O,,O
383,1,9,vladi,,vlada,Ncfsd,NOUN,O,,O
383,1,10,v,,v,Sl,ADP,O,,O
383,1,11,Rimu,rim,Rim,Npmsl,PROPN,B-LOC,40153,B-LOC
383,1,12,danes,,danes,Rgp,ADV,O,,O
383,1,13,odobrila,,odobriti,Vmep-sf,VERB,O,,O
383,1,14,državno,,državen,Agpfsa,ADJ,O,,O
383,1,15,pomoč,,pomoč,Ncfsa,NOUN,O,,O
383,1,16,za,,za,Sa,ADP,O,,O
383,1,17,krizno,,krizen,Agpnsa,ADJ,O,,O
383,1,18,reševanje,,reševanje,Ncnsa,NOUN,O,,O
383,1,19,banke,,banka,Ncfsg,NOUN,O,,O
383,1,20,Monte,monte,Monte,Npmsn,PROPN,B-ORG,40152,B-ORG
383,1,21,dei,dei,dei,Npmsn,PROPN,I-ORG,40152,I-ORG
383,1,22,Paschi,paschi,Paschi,Npmsn,PROPN,I-ORG,40152,I-ORG
383,1,23,di,di,di,Npmsn,PROPN,I-ORG,40152,I-ORG
383,1,24,Siena,siena,Siena,Npfsn,PROPN,I-ORG,40152,I-ORG
383,1,25,",",,",",Z,PUNCT,O,,O
383,1,26,poroča,,poročati,Vmpr3s,VERB,O,,O
383,1,27,nemška,,nemški,Agpfsn,ADJ,O,,O
383,1,28,tiskovna,,tiskoven,Agpfsn,ADJ,O,,O
383,1,29,agencija,,agencija,Ncfsn,NOUN,O,,O
383,1,30,dpa,dpa,DPA,Npfsn,PROPN,B-ORG,20500,B-ORG
383,1,31,.,,.,Z,PUNCT,O,,O
383,2,1,Načrt,,načrt,Ncmsn,NOUN,O,,O
383,2,2,italijanske,,italijanski,Agpfsg,ADJ,O,,O
383,2,3,vlade,,vlada,Ncfsg,NOUN,O,,O
383,2,4,spoštuje,,spoštovati,Vmpr3s,VERB,O,,O
383,2,5,pravila,,pravilo,Ncnpa,NOUN,O,,O
383,2,6,EU,eu,EU,Npfsg,PROPN,B-LOC,6,B-ORG
383,2,7,glede,,glede,Sg,ADP,O,,O
383,2,8,državne,,državen,Agpfsg,ADJ,O,,O
383,2,9,pomoči,,pomoč,Ncfsg,NOUN,O,,O
383,2,10,",",,",",Z,PUNCT,O,,O
383,2,11,so,,biti,Va-r3p-n,AUX,O,,O
383,2,12,potrdili,,potrditi,Vmep-pm,VERB,O,,O
383,2,13,v,,v,Sl,ADP,O,,O
383,2,14,Bruslju,bruselj,Bruselj,Npmsl,PROPN,B-LOC,28,B-LOC
383,2,15,.,,.,Z,PUNCT,O,,O
383,3,1,Dodali,,dodati,Vmep-pm,VERB,O,,O
383,3,2,so,,biti,Va-r3p-n,AUX,O,,O
383,3,3,sicer,,sicer,Q,PART,O,,O
383,3,4,",",,",",Z,PUNCT,O,,O
383,3,5,da,,da,Cs,SCONJ,O,,O
383,3,6,ta,,ta,Pd-fsn,DET,O,,O
383,3,7,odobritev,,odobritev,Ncfsn,NOUN,O,,O
383,3,8,ni,,biti,Va-r3s-y,AUX,O,,O
383,3,9,povezana,,povezan,Appfsn,ADJ,O,,O
383,3,10,tudi,,tudi,Q,PART,O,,O
383,3,11,z,,z,Si,ADP,O,,O
383,3,12,načrti,,načrt,Ncmpi,NOUN,O,,O
383,3,13,za,,za,Sa,ADP,O,,O
383,3,14,dokapitalizacijo,,dokapitalizacija,Ncfsa,NOUN,O,,O
383,3,15,te,,ta,Pd-fsg,DET,O,,O
383,3,16,močno,,močno,Rgp,ADV,O,,O
383,3,17,obremenjene,,obremenjen,Appfsg,ADJ,O,,O
383,3,18,banke,,banka,Ncfsg,NOUN,O,,O
383,3,19,.,,.,Z,PUNCT,O,,O
